index,Label,Text
32,negative,"@flaviofachel We, the BRAZILIAN people will never accept LULA, a corrupt thug condemned to more than 20 years but released after 18 months in jail by his buddies from the SUPREME COURT. We THE _Ÿ‡§_Ÿ‡· REAL PATRIOTIC BRAZILIAN PEOPLE WILL RESIST, P E R I O D !!!  This was a rigged election â€_ _Ÿ‘‡Sep7 https://t.co/vUcntinqZv"
33,negative,"@implantsrus @TheLeoTerrell @HerschelWalker Where are you from?

Am I talking to someone who can even vote in this election?

gd America is so much worse that I'll Blow Your F'ing Brains Out...  Then we can talk about frequency.  He threated a lot of people.

Forget Warnock for a moment,
You LIKE Walker for the job?"
34,not negative,@WestonGardner @EWErickson @stphnfwlr Dems need to be way ahead in the early voting to absorb the large GOP showing (compared to the Demsâ€™ showing) on Election Day. GOP out-voted the Dems on ED in all of the screenshots Stefan posted. GOP showed up in big numbers on ED. Dems didnâ€™t. Nitpick all you want but big GOP..
35,negative,"@Lynn818373312 @DOJCrimDiv Says a bot with 4 followers who wants us to forget what Trump and Russia did on Facebook to steal the 2016 election. We don't need a repeat of that on Twitter, with more lies, more theft of personal data and more hate-mongering to tear down America. We can't afford to wait &amp; see!"
36,not negative,"The 5th israeli election is today!

We'll see if the coalition government can hold up, if the Bibi coalition can take back power, or if itll be a 60/60 tie, heading into SIXTH elections! I made for everyone a helpful election guide to follow to see who to root for and keep track! https://t.co/vDGIavcUFf"
37,negative,"@jkjohn1950 @KariLake What are you talking about out?? The 2020 election has been investigated more than ANY in history BY REPUBLICANS and SHE is the one still hanging onto the lie because she knows it plays well with her base. She knows as well as Trump, there was nothing sketchy going on. Itâ€™s sick"
38,not negative,"Today's @AJC: ""The bottom line is Stacey Abrams can win outright. She can win in a runoff. This thing is not over."" 

Same person after the 2018 election: ""The bottom line is this race is not over. It is still too close to call, and we do not have confidence in the [SOS]"" 1/2"
39,negative,"@newsmax You guys are packing the polls.

It may not matter for Governor but I don't believe Herschel is doing as well as you think he is.

I am making sure 3 questionable voters make it to the polls this election.  It's what I can do and will quadruple my vote.

Herschel isn't qualified."
40,negative,"@POTUS They are still up $2.61 since the day you won the election. our patroliun reserve is at a record low, the gas your pulling out if it to help dems in the midterm election stops the day after the election is over. At that time prices are projected to shoot to an all-time high"
41,not negative,"@PopoDoe69 @shannonwalsh17 @freckle_the @Liz_Wheeler For some evidence on the tech side, review the data on the networked (!!) election machines. For the softer, human side check out 2000 mules. It's also worth checking out anything you're told not to look at.

Yes there can be some doubt, but refusing to have it looked at is fishy"
42,negative,"@POTUS Yeah youâ€™re a big hero! You created this crap, now youâ€™ve begged the people we shouldnâ€™t be getting oil from to keep the prices down until after the election, to try to make you look like youâ€™re saving America. WHAT. A. JOKE! I canâ€™t believe all of the people who canâ€™t see it."
43,negative,"@AceBoon_COON precisely and will, in the worse cases, be a test round for a lot of litigation to question the legitimacy of the election. 

FWIW -- I think a lot of the GOP statewides might lose election night. I feel like I've been screaming into a void saying that. I know what I'm seeing tho"
44,negative,"@scalke78 @realhillycamper @atrupar Mr. Kennedy, if I had a chance to referee my election then I would have won that election. Govenor Kemp showed that he couldn't win on his ideas. Crying no (Stacy Abrams) got to work and turn Georgia from Red to Blue. It seems that she was that you all were crying she was winning"
45,negative,"@lukebryan Who on you team told you this would be a good idea? If you support DeSantis, do it on your own time. It is what it is. Thereâ€™s NO good done by bringing him out to a show of yours, 9 days before an election. Donâ€™t try and walk it back now. Terrible mistake."
46,not negative,"@SaveAmerica206 Rep voters don't care &amp; it's been made more difficult for people to vote. (I did but was lucky in finding a Dropbox since BOTH I'd used before are gone)
I thought surely Stacey Abrams wd win easily this time since it was so close b4 when Kemp oversaw votes 4 his own election._Ÿ___Ÿ™è"
47,negative,@spezzano_jr @EricCraig66 @JoJoFromJerz He told those people to go there and he told them to fight like hell. He told them the country was being stolen and he had won the election. All fucking lies. I Canâ€™t wait for these indictments he about to get for Christmas. Iâ€™m Going to die laughing at his worshippers.
48,negative,"@EricCraig66 @spezzano_jr @JoJoFromJerz Also you sound solidly like a Crazy MAGA comedy spoof! Telling me, â€œYou need to you your researchâ€ù and calling people delusional after watching Trump ask a mob of people to come to DC for a wild event to stop the certification of the election! How can a mob stop that! VIOLENCE!"
49,negative,"@WalterBeverly2 @Mike31468640 @NashvilleDeeDee @CLRo777 @CinnersCorner @storksusan @BostonInSouth @RamblinFoxx @MarshaBlackburn @TwitterSafety @KevinFarris No, Iâ€™m not wrong and more and more Americans are finally starting to catch on. Thatâ€™s why your party has to gerrymander, suppress voting, cheat and deny election results because you arenâ€™t offering anything but pain for the working class while the rich get richer."
50,not negative,@ProudElephantUS The smartest thing for us to do is to wait until election day to vote-plan ahead you need water put it in your bag if you need a cookie put it in your bag. If you want to be a part of the red tsunami vote on election day my plans are 7 AM Iâ€™ll be in line.
51,not negative,"@radi0sil3nc3 @cabarkk @Angry_Staffer @RebornUnicorn1 Thank you for that. Sadly, she didnâ€™t. I miss her so much! But her face lit up when I told her Biden, Ossoff &amp; Warnock won. She died proud to know she played a part. My mom was a poll worker every election until her health kept her home. _Ÿ’™"
52,not negative,"@BarackObama At the grocery store, they ask you to ROUND UP for your favorite charity. After this rally, every word made me want to ROUND UP every voter on the fence about this election and get them to their respected places to vote. Voters are hanging on your every word b/c they need CHANGE."
53,not negative,"@Lilith_knows @SenSchumer Wow.  You know me eh?
Donâ€™t lump me into a group.  I have the ability to think for myself.  Group think isnâ€™t my thing.  Since you know me so well..I guess you realize I voted Libertarian the last 4 election cycles.  Iâ€™m just calling a spade a spade my man..and if that stings _Ÿ_·_Ÿè»â€çâ™‚ï¸è"
54,negative,@Kneeslapper2 @JauntyWhisper @Don___Cheeto2 @Politics_Polls @InsiderPolling @FOX5Atlanta No evidence of injury doesnâ€™t mean he wasnâ€™t angry &amp; tried to run her over &amp; clipped her foot. One could get punched in the gut &amp; not show any physical evidence of it. Her account was visceral &amp; believable but I can see why a Dem would not want to believe her. Itâ€™s a big election
55,not negative,Yâ€™all keep saying the president election was rigged but no one isnâ€™t talking about how almost every Black person in GA voted like their life was on the line and how Biden &amp; DNC spent over $7.2M on tv &amp; radio ads. Thatâ€™s more than 3x the amount Trump &amp; RNC spent on their ads.
56,not negative,"@Jenine4Georgia @rahulbali @wabenews @DeKalbVotes @ItsInDeKalb @ACLUofGA @CindyBattles @gcpagenda @benefieldforga @MarciMcCarthyUS The burden is on the challenger to provide clear evidence in support of their challenge. In this case, the source of the evidence was not credible and would have placed an additional burden on our staff to research and verify while managing a major ongoing election."
57,not negative,"@maroondogsatl @HowardHoach @ImRonRoberts @bluestein First of all, you don't tell us what to try. It's not your home nor your place. Secondly, how do you think incremental progress to purple is made if not one election at a time? Finally, regardless of the outcome my sense is that there will be more GOP voting Dem than ever before."
58,negative,"@sjsharksfanta @conserv61 @DickesonKathy Youâ€™re voting Republican because you think invading the capital was a cool thing and that the election was stolen even though youâ€™ve never seen one ounce of proof. If you can vote for that, it really doesnâ€™t matter what the dems do bc u had no intention to vote for them anyways"
59,not negative,"@AnthonyHegler @staceyabrams Well itâ€™s my hope you sit with this decision long and hard. Look at their record and vote the issues in this election. Iâ€™ll be voting for @staceyabrams because Iâ€™ve seen her prioritize us in the work that sheâ€™s done, both in and out of office, and I pray you join me."
60,not negative,"I do this since I committed to voting in every election and for every local position. I research all the candidates, mark my choices on my sample ballot and take it with me. It only takes 10 mins at most. Well worth it when you're picking ppl who can impact the rest of your life. https://t.co/USxSGLehuD"
61,negative,@renoomokri Spot on we have more imminent danger a catastrophe waiting to happen if Atiku wins this election than a climate change. Aside that with your knowledge of the green energy you are in exile. You canâ€™t even win your local govt if you are to context talk more of being a Governor. Ode
62,negative,"@BlackVoice4u We also deserve whomever we end up getting in Georgia, as NOBODY is using the short window we have in every election cycle to make demands or get concessions in exchange for our vote. We ae allowing ourselves to be dictated as to what our issues are; can't put full blame on her."
63,not negative,Okay this is a pretty big deal. Farley was supposed to run in the PSC this year (which got cancelled after the current election system got struck down by SCOTUS via VRA). She will now have a high profile position to put her platform to action and get involved in the IRP process https://t.co/oO2IVWYpq0
64,not negative,"@marksmithgolfer @POTUS I think This POUS greatest Winn to this date is not his election or his legislation- it was his one decision to literally risk his everything including his life and family and all the USA- to unveil the greatest military secret ~ that of the human mind.
Thank You Mr. PRESIDENT J."
65,negative,"All you Nigerians that have Brain but cannot reason and think , Arenâ€™t you guys tired of Voting? You have voted for 62 yrs yet no changed. You have prayed for 62yrs but God refuses to answer, What does that tell you? All you need is a Referendum need not a useless PVC/ Election."
66,negative,@bluestein Actions have consequences. Former POTUS creates a lie to con his Cult &amp; try to steal election. Rs use lie as a pretext to try and steal future elections. MLB sees the obvious and all of us in GA suffer. Rs cant win on their ideas so they suppress the will of the the people
67,not negative,"@AtyAdejo We have a presence in elections, but in Georgia? Black people are only a third of the population and even less of that number is eligible to vote. We can't swing an election on our own and you don't get the Black vote out by saying that Black issues are too spicy, as Abrams did."
68,not negative,"Vote for @JHughes4Dekalb in the @DeKalbSchools Board District 6 Run Off! Early Voting 6/13 â€“ 6/17 | Election Day 6/21 | Vote 7 AM â€“ 7 PM. 

If you voted in the Primary on a Republican, Democrat or Nonpartisan Ballot &amp; reside in DCSB 6, then you are able to vote for Janet Hughes. https://t.co/XuwyBTxqdn"
69,negative,"I voted early in GAâ€™s primary yesterday. Today I learned something about a candidate that makes me wish I could change my vote

I wish we would go back to Election Day and not have election season

And by the way itâ€™s super simple to vote in GA. Anyone who says otherwise is lying https://t.co/I9LpKLNpqs"
70,negative,"This is interesting to hear, as we are heading into an election in Georgia and nobody is demanding anything and Black leadership is poised to get out the vote, but NOBODY is saying what we want, when we want it and how we are going to get it because folks were bought off. https://t.co/70ycS9EU46"
71,negative,"@amac0668 This is silly. AP was testing their interface with WSB for the upcoming election. The header even still said 2020 runoff. This was dumb on their part that it was public facing, but it was IT people doing what IT people do. There is no there there. It was dummy data for testing."
72,negative,"@FloydforGeorgia @BeeForGeorgia @OwensForGeorgia @JohnEavesforGA @Dee4GeorgiaSoS You want to come at me for asking a question AS A GA VOTER as to what policy positions you will advocate for as the state chief election officer and act like I talked about your mama. At this point? If it came to you or Brad? I'd vote for Brad. 

Take care; God bless."
73,not negative,@mwolfers @proudliberalz Same with me and Reagan. First I remember is Bush 41. First election I remember is B. Clinton/Bush/Perot. My mom was born in 1953 and if she had been a boy her name wouldâ€™ve been Dwight David after the President (my grandparents were staunch Dems but my grandfather was in the AF)
74,negative,"@SenWhitehouse That ship sailed when the GOP nominated a man who said the then president  was not born in this country. Or perhaps it sailed 31 years ago, when a woman told how a SC nominee had sexually harassed her. It certainly had when his wife was a part of an effort to overturn an election"
75,negative,@AnfelisaSpiorad @JFTypeSVR @UncvrngTheTruth @TomPerez @RepSwalwell @RepAdamSchiff As a Black voter white father is from SC. I knew taking advice from Clyburn was a tragic mistake! Why would the DNC have someone who lost their election to head such a power organization. He is in over his head and the lack of energy and mobilization in the base shows it.
76,negative,"@WJHirschi @nbrink77 @whittomd Well Iâ€™m not an idiot and Iâ€™m still a gay black man in the south so I wouldnâ€™t sit out an election, never have since I was of voting age. The spoiled ass white boys that have nothing to lose will absolutely sit out and they wonâ€™t care. I outlined my idea in another post"
77,negative,@JamesLauder12 @IZMKS44 @TastyMorsel6 @angry_mema @Godslightangel7 @lostandlovinit @Txsgntlmn737 @ghost321 @Andy51115454 @NatForTrump2024 @jbizzy6969 @MJB24681 @howienudet @Klee34036780 @vinniediego @RonFancy @HuntersArtWork @najjar_richard @hrt6017 @jimaw63 @VickiBevins @ShellyRKirchoff @JamesCa70626795 @MusubiBrand @alshadowdancer @JAlan21813286 @Billenjoylife @AngryFleas @tallnblonde1 @BuildBetta @charliedaniel06 @nitros1954 @HamRadioJoe @rebelvanhalen @SalsaPrice @VinceGottalotta @Huckleberry1023 @FrankGillilan13 @Annie20554592 @MattGla43952282 @izmks16 @LifeNyc2 @2_drac @PETERSARLENE @ThereseOSulliv2 @BlakDragonClaw @dogsdontliket @tRick_the_only @realZacharyKent @JamesCa45920153 It's you clowns that keep him around. He was fired by the American people period. It's you cultists keeping his big lie in the news cycle &amp; supporting his rallies taking your money. It's you that attacked our Capitol over his election loss. Maybe it's not TDS. It's your obsession https://t.co/SAYtgfxbsf
78,negative,@NatForTrump2024 @jbizzy6969 @howienudet @Klee34036780 @ghost321 @vinniediego @RonFancy @IZMKS44 @MJB24681 @HuntersArtWork @najjar_richard @hrt6017 @TastyMorsel6 @jimaw63 @VickiBevins @angry_mema @Godslightangel7 @ShellyRKirchoff @JamesCa70626795 @MusubiBrand @lostandlovinit @alshadowdancer @JAlan21813286 @Billenjoylife @AngryFleas @tallnblonde1 @BuildBetta @charliedaniel06 @nitros1954 @HamRadioJoe @rebelvanhalen @SalsaPrice @VinceGottalotta @Huckleberry1023 @FrankGillilan13 @Annie20554592 @MattGla43952282 @izmks16 @LifeNyc2 @2_drac @PETERSARLENE @JamesLauder12 @ThereseOSulliv2 @BlakDragonClaw @dogsdontliket @tRick_the_only @realZacharyKent @JamesCa45920153 @SiLvErKnIfEo3i1 I'm smart enough not to attack the Capitol over a lost election. But keep crying over it. https://t.co/ryswEP9lcX
79,not negative,"@TThiruseelan @stillgray When I ask the GOP base if there was fraud in the election, they say, â€œYes, I believe there was fraud &amp; it was widespread across the USâ€ù When I ask them if their views on blk on blk crime is correct, they say ,â€ùThey are fully correctâ€ù &amp; Opioid filled poor wyt cities have 0 crime? https://t.co/k3mtlqqDei"
80,not negative,"Accounts keep sending me this pic of Biden event in GA before the election like itâ€™s supposed to rebut Trump crowds.

He never claimed to have more people there than really were!

Also - like the Trump rally ones - Iâ€™m in this picture too and could tell you what # was there! https://t.co/Ml0Eb1ID1s"
81,negative,"@TheRealMac08 @TheCatchFence Actually I donâ€™t support any politician. I voted GOP my entire life until this last election and hate that I felt the need to do that as I donâ€™t agree with most anything either parties do anymore. There is no middle in our policies at this point, itâ€™s extremes on both sides"
82,negative,"@janisch_frank Trump has a lot of the unlearned exactly like himâ€_the real problem for him is, HE DOESNâ€™T HAVE ENOUGH OF YOU GUYS TO WIN!!! Thereâ€™s been a HUGE SHIFT IN THE VOTING SINCE THIS LAST ELECTION. Many people are waking up to who Trump actually is. THANK GOD!!! They now KNOW HE LOST!_Ÿ§ê"
83,negative,"@CawthornforNC It's almost like you want him to fail. Let me give you a little tip...when he fails we fail. But you would have learned that about the last guy had you not been trying to overturn an election that he lost. As for you, being successful would actually require you to do something."
84,negative,"@tiwaworks1 @DrDukeDDS at all of them it was the same 'you must be this funded to ride' BS

a common complaint among even just those of the 14 on ballot candidates is that news coverage, public forums &amp; the such basically made-out asif there was only the same 5 people in this election every event/story"
85,negative,"@WalshFreedom This is a bad take. It wasnâ€™t about the election, it was about holding on to power. A sitting President attempted to stay in power, everything else is a result of that goal. Had he thrown the same fit in 2016 it would not be in the same universe as the damage done as POTUS."
86,negative,"@FakeDanWeber @jakehsnider @deidremenged0ht And, in case you forgot from when you linked a few minutes ago, hereâ€™s you talking about â€œwhipping membersâ€ù in THIS thread in regard to the WV election, which sent you off scrambling trying to blame it on a different thread when I called you on it. Youâ€™re a lying waste of time."
87,not negative,"@IamKingWilliams @Representable_ Why IS there a such a strong push by the state to use these electronic voting machines when no one really knows how they work and count the votes? I realize this doesn't play well into the 2020 narrative of a 'safe, secure election' due to Biden winning the state, but we..."
88,not negative,"@notmollyallison Yeesh thats awful. Wasnt tryna be a dick! Being in GA I got several a day during the pres election and senate run off. Trying to opt out worked sometimes, other times I was retargeted or there were lots of follow up qâ€™s. Just tryna really get off the list cause Im gettin blown up"
89,not negative,"@marceelias Yes, all the way. And if yâ€™all are looking for help in GA, I havenâ€™t practiced election law but Iâ€™ve worked Voter Protection here for over a decade and have a good handle on state law, and Iâ€™ve been around both the courtroom and mass data cases. Anything to help push the rock."
90,not negative,"@staciewrites @AdamsEwot @RErwinSpencer @bankomcfly2 @GaSecofState @VoteBradRaff @BeeForGeorgia That isnâ€™t correct. Under the old and new law, those over 65 or w/ a disability could make a single request and get a ballot for each election in that cycle. That was not changed at all. If you are outside of that criteria, you have to do the same no excuse request."
91,negative,"@VamonosSquirrel @Wikweko @realLizUSA And the tallied votes are segregated by precinct. And, for this election, we counted them ALL 3 times, 3 different ways. tl;dr - the idea that someone could slap some extras on a scanner during the count and it wouldnâ€™t stand out like a blaring siren is, in a word, laughable. /x"
92,negative,@iMajorWish @stphnfwlr @KasimReed @andreforatlanta @CityofAtlanta Yeah. UPDATE _Ÿ’” I talked to WSB. They misreported based on an increase of Fulton voters for Reed @ 100% reporting but excluded Dekalb. Too many of the tiny # of voters this election have no/low sense of danger &amp; coming calamity. WE NEED KASIM. God help us. #BuckheadCity #atlpol https://t.co/0QaadRNTK3
93,not negative,@triciaharris @hmichaelharvey And as far as â€œsmokeâ€ù - why would â€œsmokeâ€ù come my way for standing up for the people after the people spoke via the polls last night. Our issues are bigger than one candidate and one election. We are always open to partner to fix the problems. But â€œ_Ÿ’¨â€ù is of no concern. If I am
94,negative,So Donald Trump is a dumb dumb. How can the capital city Terrorist be â€œvery specialâ€ù but also be Antifa. If you ask him right now he will say â€œMike Pence didnâ€™t do the right thing.â€ù He couldnâ€™t overturn the free and fare election. If the VP had that power no one would ever lose.
95,not negative,"@RErwinSpencer @GaSecofState @SpeakerRalston @GovKemp Actually that isnâ€™t correct. The law remains that a voter 65+ or with a disability can request an absentee in the first election in the cycle, check a box to receive the absentee ballots for the remaining elections of that cycle, just like under law last cycle and cycles before."
96,not negative,"@TRay_198 Let me explain something, as the wife of a postal worker. While 1st class mail is being slowed down, official election mail such as ballots have never been and are still not treated the same way - it ALWAYS is of the highest priority in the system and gets where it needs to go."
97,negative,"@itsgreek2me2 @MorgaineSwann @donaldj22717589 @MichelleRSmith @SpeakerPelosi @RepAdamSchiff Agreed-but first, we HAVE get John Lewis Voting Rights N2 law! Those of us living in now-infamous Fulton County, GA (or really anywhere in GA) are living under the spectre of actual state law that allows the Rep. legislature to change the outcome of any election to their liking!"
98,negative,"Is this suppose to make up for all the community clean ups he missed that I attended in Grove Park, Center Hill, Carey Park, &amp; Collier Heights? Folks should be offended by this. Hillis let trash sit on our streets for most of the year &amp; then before the election gets to work _Ÿ™„ https://t.co/zunkQJwmro"
99,negative,@Rebecca4Georgia @RepDonnaMcLeod @JoshforGeorgia @sheaforgeorgia @MooreForGeorgia While their voices are needed in this fight and it is infuriating to see that the demand has to be made in light of the role Georgia played in the 2020 election? All of these lawmakers have constituents who will need their help with this eviction crisis. I hope they multitask.
100,negative,"@AmosFromWV @all_outta_gum @MythSerene @MichelleUgenti As for the â€˜20 election, people like you declare that Biden could not have gotten as many votes as he did. Thus fraud occurred. 

Fact: plain and simple: more people HATED Trump than loved him. 

In AZ 10â€™s of 1000â€™s of ballots voted straight GOP except for prez. Thus Trump lost."
101,negative,"@Spartacousin @ohitswaters @2020GTOY @JoshuaHol Oh, this is rich! We just had an election where we elected TWO Senators but we lost a state seat for the Public Service Commission that impacts Georgians just as much because Democrsts were rolling in all that marquee race money and FORGOT. 

And them there's how we got MTG."
102,negative,"@kidlargo @SlothRedux @JacobPhillip801 @Elections_Daily @SenateDems @ChrisMurphyCT @brianschatz @SenatorSinema @Sen_JoeManchin @amyklobuchar It was wrong to try to delegitimize Trumpâ€™s win as *some* people did, but Russia did interfere in the 2016 election and, per the Mueller Report, Trump campaign was well aware of the interference during the election and welcomed it, even though they didnâ€™t directly collude."
103,not negative,"@AmyP5280 @AdamsEwot @GaSecofState We live in a two party nation. That is a consequence of our fir across the line election system. I will fight to save my party rather than abandon it. In the long run, itâ€™s the vehicle to defend individual Liberty. I know you wonâ€™t agree. And MTG, Hice &amp; Gaetz are nutty."
